system:index,area_m2,.geo
"59044,-11128",73217.87287797176,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59511714332578,-28.948012728997515],[153.59771851039346,-28.948012728997515],[153.59771851039346,-28.94541136192985],[153.59511714332578,-28.94541136192985],[153.59511714332578,-28.948012728997515]]]}"
"59045,-11128",73217.87287801545,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59771851039346,-28.948012728997515],[153.60031987746112,-28.948012728997515],[153.60031987746112,-28.94541136192985],[153.59771851039346,-28.94541136192985],[153.59771851039346,-28.948012728997515]]]}"
"59046,-11128",73217.87287729247,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.60031987746112,-28.948012728997515],[153.60292124452877,-28.948012728997515],[153.60292124452877,-28.94541136192985],[153.60031987746112,-28.94541136192985],[153.60031987746112,-28.948012728997515]]]}"
"59047,-11128",73217.87287882013,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.60292124452877,-28.948012728997515],[153.60552261159646,-28.948012728997515],[153.60552261159646,-28.94541136192985],[153.60292124452877,-28.94541136192985],[153.60292124452877,-28.948012728997515]]]}"
"59048,-11128",73217.87287799211,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.60552261159646,-28.948012728997515],[153.6081239786641,-28.948012728997515],[153.6081239786641,-28.94541136192985],[153.60552261159646,-28.94541136192985],[153.60552261159646,-28.948012728997515]]]}"
"59049,-11128",73217.872878073,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.6081239786641,-28.948012728997515],[153.6107253457318,-28.948012728997515],[153.6107253457318,-28.94541136192985],[153.6081239786641,-28.94541136192985],[153.6081239786641,-28.948012728997515]]]}"
"59031,-11127",73219.71143439847,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56129937144613,-28.94541136192985],[153.56390073851378,-28.94541136192985],[153.56390073851378,-28.94280999486218],[153.56129937144613,-28.94280999486218],[153.56129937144613,-28.94541136192985]]]}"
"59032,-11127",73219.71143507105,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56390073851378,-28.94541136192985],[153.56650210558143,-28.94541136192985],[153.56650210558143,-28.94280999486218],[153.56390073851378,-28.94280999486218],[153.56390073851378,-28.94541136192985]]]}"
"59033,-11127",73219.71143582225,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56650210558143,-28.94541136192985],[153.56910347264912,-28.94541136192985],[153.56910347264912,-28.94280999486218],[153.56650210558143,-28.94280999486218],[153.56650210558143,-28.94541136192985]]]}"
"59034,-11127",73219.71143433674,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56910347264912,-28.94541136192985],[153.57170483971677,-28.94541136192985],[153.57170483971677,-28.94280999486218],[153.56910347264912,-28.94280999486218],[153.56910347264912,-28.94541136192985]]]}"
"59035,-11127",73219.71143580246,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.57170483971677,-28.94541136192985],[153.57430620678446,-28.94541136192985],[153.57430620678446,-28.94280999486218],[153.57170483971677,-28.94280999486218],[153.57170483971677,-28.94541136192985]]]}"
"59036,-11127",73219.71143437157,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.57430620678446,-28.94541136192985],[153.5769075738521,-28.94541136192985],[153.5769075738521,-28.94280999486218],[153.57430620678446,-28.94280999486218],[153.57430620678446,-28.94541136192985]]]}"
"59037,-11127",73219.71143581439,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5769075738521,-28.94541136192985],[153.5795089409198,-28.94541136192985],[153.5795089409198,-28.94280999486218],[153.5769075738521,-28.94280999486218],[153.5769075738521,-28.94541136192985]]]}"
"59038,-11127",73219.71143431767,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5795089409198,-28.94541136192985],[153.58211030798745,-28.94541136192985],[153.58211030798745,-28.94280999486218],[153.5795089409198,-28.94280999486218],[153.5795089409198,-28.94541136192985]]]}"
"59039,-11127",73219.71143502965,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58211030798745,-28.94541136192985],[153.5847116750551,-28.94541136192985],[153.5847116750551,-28.94280999486218],[153.58211030798745,-28.94280999486218],[153.58211030798745,-28.94541136192985]]]}"
"59040,-11127",73219.711435162,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5847116750551,-28.94541136192985],[153.5873130421228,-28.94541136192985],[153.5873130421228,-28.94280999486218],[153.5847116750551,-28.94280999486218],[153.5847116750551,-28.94541136192985]]]}"
"59041,-11127",73219.71143509858,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5873130421228,-28.94541136192985],[153.58991440919044,-28.94541136192985],[153.58991440919044,-28.94280999486218],[153.5873130421228,-28.94280999486218],[153.5873130421228,-28.94541136192985]]]}"
"59042,-11127",73219.71143518371,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58991440919044,-28.94541136192985],[153.59251577625813,-28.94541136192985],[153.59251577625813,-28.94280999486218],[153.58991440919044,-28.94280999486218],[153.58991440919044,-28.94541136192985]]]}"
"59043,-11127",73219.71143498941,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59251577625813,-28.94541136192985],[153.59511714332578,-28.94541136192985],[153.59511714332578,-28.94280999486218],[153.59251577625813,-28.94280999486218],[153.59251577625813,-28.94541136192985]]]}"
"59044,-11127",73219.71143514785,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59511714332578,-28.94541136192985],[153.59771851039346,-28.94541136192985],[153.59771851039346,-28.94280999486218],[153.59511714332578,-28.94280999486218],[153.59511714332578,-28.94541136192985]]]}"
